address,denom,amount,token_name
osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc,214964,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc
osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D,30194,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D
osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,70735099,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4
osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,ibc/4ABBEF4C8926DDDB320AE5188CFD63267ABBCEFC0583E4AE05D6E5AA2401DDAB,69988,ibc/4ABBEF4C8926DDDB320AE5188CFD63267ABBCEFC0583E4AE05D6E5AA2401DDAB
osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,38431,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877
osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,uosmo,2892063,OSMO
osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,65,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4
osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,69,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,492746094,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,5,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44
osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,366394447080,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5
osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,uosmo,1765843,OSMO
osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682,2,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682
